"Ontem foram votados 07 destaques à Nova Previdência. 03 foram aprovados e 04 foram rejeitados. O impacto na economia, segundo o Deputado 
@RodrigoMaia
 não é muito alto. Oremos! O mercado espera uma reforma de pelo menos 700 bilhões! #EuApoioANovaPrevidência","2019-07-12T10:57:33.000Z"
"E o PT, que votou contra o Plano Real, acaba de votar pela retirada da reforma da previdência da pauta... Não querem votar, querem barrar a votação, querem obstruir os trabalhos... Que decepcionante! #EuApoioANovaPrevidência #ReformadaPrevidenciaJa #ReformaDeUmTrilhao","2019-07-11T22:55:15.000Z"
" Pra frente Brasil!
#SomosTodosMoroeDallagnol
#EuApoioSergioMoro
#EuApoioaLavaJato
#DetonaTudoMoro
#STFVergonhaNacional
#ForaMaia
#ForaGilmarMendes
#DeportaGreenwald
#GloboLixo
#Bandlixo
#GloboNewsFake
#BolsonaroTemRazao
#EuApoioaNovaPrevidencia
#DeltanDallagnolnaPGR","2019-07-11T21:55:17.000Z"
"Vai tarde!! Não precisa mais voltar bando de baderneiros. 
#EuApoioANovaPrevidencia","2019-07-11T14:12:58.000Z"
"Não irão nos calar!!! Até o dia 15 tem mais, ele já avisou. #EuApoioANovaPrevidencia","2019-07-11T11:28:48.000Z"
"Quem reclamou até agora? O jean, lá do esconderijo que está?? #EuApoioANovaPrevidencia","2019-07-11T11:27:09.000Z"
"Sinceramente não sei. Agora me diz coisa, pq ninguém reclamou/ protestou das declarações dele? Quem foi a polícia?? #EuApoioANovaPrevidencia","2019-07-11T11:26:26.000Z"
"O problema quem apoia são mais #euapoioaNovaPrevidencia","2019-07-11T11:20:03.000Z"
"Vota na esquerda no Lula de novo!! Vc colhe os frutos q planta !! #euapoioaNovaPrevidencia","2019-07-11T11:18:10.000Z"
"Isso aí, e vc acredita nas falácias do #Verdevaldo ??? Vc imagina o que os espiões russos podem fazer? E nem estão comentado que a Dilma e a Narizinho estiveram há Rússia, ainda não ligaram os fatos. Pior que novela mexicana. #EuApoioANovaPrevidencia","2019-07-11T11:17:31.000Z"
"Credo essa mulher e o Fred grugree puro horrível #euapoioaNovaPrevidencia","2019-07-11T11:15:37.000Z"
" Pra frente Brasil!
#SomosTodosMoroEDallagnol
#EuApoioSergioMoro
#EuApoioaLavaJato
#DetonaTudoMoro
#STFVergonhaNacional
#foramaia
#DeportaGreenwald
#GloboLixo
#Bandlixo
#GloboNewsFake
#BolsonaroTemRazao
#EuApoioaNovaPrevidencia
#DeltanDallagnolNaPGR
#OPavaoVoltou","2019-07-11T11:07:32.000Z"
"Do exxxxxxxxxxx hoje presidiário #euapoioaNovaPrevidencia","2019-07-11T11:04:35.000Z"
"Kkkkkkkkk chupa derrotada #euapoioaNovaPrevidencia","2019-07-11T11:03:43.000Z"
"Infelizmente o governo precisou ceder pra essa categoria por conta da pressão dos partidos de oposição.  A luta continua.#EuApoioANovaPrevidencia","2019-07-11T10:50:38.000Z"
"Registramos seu nome pra nunca mais esquecê-lo pela cagada !!! #euapoioaNovaPrevidencia","2019-07-11T10:48:32.000Z"
"Sinceramente não sei. Agora me diz coisa, pq ninguém reclamou/ protestou das declarações dele? Quem foi a polícia?? #EuApoioANovaPrevidencia","2019-07-11T11:26:26.000Z"
"O problema quem apoia são mais #euapoioaNovaPrevidencia","2019-07-11T11:20:03.000Z"
"Vota na esquerda no Lula de novo!! Vc colhe os frutos q planta !! #euapoioaNovaPrevidencia","2019-07-11T11:18:10.000Z"
"Isso aí, e vc acredita nas falácias do #Verdevaldo ??? Vc imagina o que os espiões russos podem fazer? E nem estão comentado que a Dilma e a Narizinho estiveram há Rússia, ainda não ligaram os fatos. Pior que novela mexicana. #EuApoioANovaPrevidencia","2019-07-11T11:17:31.000Z"
"Credo essa mulher e o Fred grugree puro horrível #euapoioaNovaPrevidencia","2019-07-11T11:15:37.000Z"
" Pra frente Brasil!
#SomosTodosMoroEDallagnol
#EuApoioSergioMoro
#EuApoioaLavaJato
#DetonaTudoMoro
#STFVergonhaNacional
#foramaia
#DeportaGreenwald
#GloboLixo
#Bandlixo
#GloboNewsFake
#BolsonaroTemRazao
#EuApoioaNovaPrevidencia
#DeltanDallagnolNaPGR
#OPavaoVoltou","2019-07-11T11:07:32.000Z"
"Do exxxxxxxxxxx hoje presidiário #euapoioaNovaPrevidencia","2019-07-11T11:04:35.000Z"
"Kkkkkkkkk chupa derrotada #euapoioaNovaPrevidencia","2019-07-11T11:03:43.000Z"
"Infelizmente o governo precisou ceder pra essa categoria por conta da pressão dos partidos de oposição.  A luta continua.#EuApoioANovaPrevidencia","2019-07-11T10:50:38.000Z"
"Registramos seu nome pra nunca mais esquecê-lo pela cagada !!! #euapoioaNovaPrevidencia","2019-07-11T10:48:32.000Z"
"Vc professora misericórdia coitado dos seus alunos tá perdido mesmo esses pais !! #euapoioaNovaPrevidencia","2019-07-11T10:43:36.000Z"
"Trabalho não mata ninguém!! Quem gosta de aposentadoria e preguiçoso !! Ou seja vcs do seu partido tão lutando pela coisa certa; vcs não gosta de trabalhar! #euapoioaNovaPrevidencia","2019-07-11T10:41:59.000Z"
"Sim, vai reduzir a aposentadoria dos deputados de 30 p 5 mil. Pensou no Brasil sim. #EuApoioANovaPrevidencia","2019-07-11T10:37:54.000Z"
"Onorsfo da Fátima não gosta de ser chamado de namorado da Fátima. #EuApoioANovaPrevidencia","2019-07-11T10:29:19.000Z"
"Pois é .... essa é a herança que os últimos governos nos deixaram. Devemos todos ser bastardos. #EuApoioANovaPrevidencia","2019-07-11T10:28:25.000Z"
"O país é mais importante que a instituição. A deputada Tabata ganhou uma fã. #EuApoioANovaPrevidencia","2019-07-11T10:23:40.000Z"
"Kkkkk derrotado perdeu invasor!! #euapoioopacoteanticrime #EuApoioSergioMoro #euapoioaNovaPrevidencia","2019-07-11T09:48:03.000Z"
"O povo de bem apoia o presidente Jair bolsonaro e tosadas reformas q deram feitas #EuApoioaLavaJato #EuApoioLeiAntiCrime #euapoioaNovaPrevidencia","2019-07-11T07:52:22.000Z"
"Parabéns pelo voto deputada! Quem votou contra e irresponsável #euapoioaNovaPrevidencia","2019-07-11T01:02:07.000Z"
"@tabataamaralsp
 Parabéns pelo voto deputada! Quem votou contra é irresponsável. #euapoioaNovaPrevidencia","2019-07-11T01:01:00.000Z"
"#euapoioANovaPrevidencia #SomosTodosBolsonaro #SomosTodosMoroEDallagnol #DeltanNaPGR #DeportaGlennGreenwald #LulaNaCadeia 
@davidmirandario
 
@gduvivier
 
@jeanwyllys_real
 
@psolnacamara
 
@gilmarmendes
 
@STF_oficial
 
@ggreenwald
 
@angelocoronel_
 
@LulaOficial
 
@folha_poder","2019-07-11T00:33:15.000Z"
"Por 379 a 131 o texto base da Nova Previdência foi aprovado na Câmara dos Deputados.

Ainda precisa passar:


2º turno na Câmara e 

2 votações no Senado

NÃO vamos afrouxar!

O Brasil começa a  caminhar!

#GrandeDia #EuApoioANovaPrevidência","2019-07-11T00:14:43.000Z"
"#EuApoioANovaPrevidência 
#BrasilPatriaAmada","2019-07-10T23:29:14.000Z"
"Não entendo como o brasileiro é contra o futuro do nosso país. Muitos só pensam no hoje, mas estão a esquecer dos filhos, netos, etc. #EuApoioANovaPrevidencia","2019-07-10T23:25:56.000Z"
"O Brasil venceu a esquerda. Por 379 votos favoráveis à 131 votos contrários, a Câmara dos Deputados aprovou em primeiro turno a Nova Previdência. É o grande passo para o futuro do Brasil: mais empregos, mais renda, mais investimentos e menos privilégios! 
#EuApoioANovaPrevidência","2019-07-10T23:21:58.000Z"
"Parabéns, Rodrigo Maia!!!!!!

#EuApoioANovaPrevidência!!!!","2019-07-10T23:10:55.000Z"
"#euapoioanovaprevidência #novaprevidência #GrandeDia","2019-07-10T23:10:26.000Z"
"Aprovada proposta da previdência no primeiro turno. #PrevidênciaDoGuedes #euapoioaNovaPrevidencia","2019-07-10T23:09:19.000Z"
"#PrevidenciaSim 
#EuApoioANovaPrevidência","2019-07-10T22:57:28.000Z"
"VOCÊS ESTÃO vendo agora a TV Senado? Melhor do que qualquer novela: o Circo Hipócrita vermelho que não convence mais ninguém, NEM MESMO AS MINORIAS que tanto usaram e enganaram para se manterem no poder. #tvsenado #tvsenadonainternet #euapoioanovaprevidência","2019-07-10T22:53:25.000Z"
"A única bandeira que levantamos é a do Brasil aqui não PT chupa PT
#ReformaJusta #ReformaDe1Trilhao #ReformaSim #ReformaVoteSim #NovaPrevidenciaJa #NovaPrevidencia #EuApoioaNovaPrevidência","2019-07-10T22:33:00.000Z"
"E como sempre os canalhas da esquerda espalhando fake News dizendo que a reforma da Previdência é o fim da aposentadoria... #EuApoioaNovaPrevidência #ReformaJusta #ReformaDe1Trilhao #ReformaVoteSim","2019-07-10T22:28:02.000Z"
"As únicas reformas que o PT apoia é a reforma do sítio e do triplex do Lula chora mais esquerdalhas #ReformaDe1Trilhao #ReformaVoteSim #ReformaJusta #ReformaVoteSim #EuApoioaNovaPrevidência #NovaPrevidenciaJa #NovaPrevidencia","2019-07-10T22:12:10.000Z"
"O Brasil venceu a esquerda. Por 379 votos favoráveis à 131 votos contrários, a Câmara dos Deputados aprovou em primeiro turno a Nova Previdência. É o grande passo para o futuro do Brasil: mais empregos, mais renda, mais investimentos e menos privilégios! 
#EuApoioANovaPrevidência","2019-07-10T23:21:58.000Z"
"Parabéns, Rodrigo Maia!!!!!!

#EuApoioANovaPrevidência!!!!","2019-07-10T23:10:55.000Z"
"#euapoioanovaprevidência #novaprevidência #GrandeDia","2019-07-10T23:10:26.000Z"
"Aprovada proposta da previdência no primeiro turno. #PrevidênciaDoGuedes #euapoioaNovaPrevidencia","2019-07-10T23:09:19.000Z"
"#PrevidenciaSim 
#EuApoioANovaPrevidência","2019-07-10T22:57:28.000Z"
"VOCÊS ESTÃO vendo agora a TV Senado? Melhor do que qualquer novela: o Circo Hipócrita vermelho que não convence mais ninguém, NEM MESMO AS MINORIAS que tanto usaram e enganaram para se manterem no poder. #tvsenado #tvsenadonainternet #euapoioanovaprevidência","2019-07-10T22:53:25.000Z"
"A única bandeira que levantamos é a do Brasil aqui não PT chupa PT
#ReformaJusta #ReformaDe1Trilhao #ReformaSim #ReformaVoteSim #NovaPrevidenciaJa #NovaPrevidencia #EuApoioaNovaPrevidência","2019-07-10T22:33:00.000Z"
"E como sempre os canalhas da esquerda espalhando fake News dizendo que a reforma da Previdência é o fim da aposentadoria... #EuApoioaNovaPrevidência #ReformaJusta #ReformaDe1Trilhao #ReformaVoteSim","2019-07-10T22:28:02.000Z"
